'SalonDeClases','0','Salón de clase','Blanco','Argos','Sala CAD', 3396.880, 3984.713, 270.000, 1.000, 1.000
'Puerta','0','Puerta','Azul','Hoggan','Puerta Tivoli 80x200cm', 338.198, 1025.848, 0.000, 1.000, 1.000
'Puerta','0','Puerta','Azul','Hoggan','Puerta Tivoli 80x200cm', 338.198, 625.848, 0.000, 1.000, 1.000
'Tablero','0','Tablero','Blanco','Maos Centry','Tablero Acrilico Blanco', 314.463, 3908.267, 0.000, 1.000, 1.000
'Televisor','0','Televisor','Negro','Samsung','F-QNN55Q6FAAKXZL', 305.881, 5206.558, 0.000, 1.000, 1.000
'Servidor','0','Servidor','Negro','HPE','HPE ProLiant DL360 Gen10', 5461.230, 7164.083, 0.000, 1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 1255.622, 6078.709, 270.000, 1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 1263.951, 6367.811, 270.000, 1.000, 1.000
'Pantalla','0','Pantalla','Negro','HP','V24I', 1433.732, 6314.557, 270.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 588.721, 6390.310, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 2838.213, 6245.380, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 3437.082, 6245.380, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4047.577, 6241.640, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4703.340, 6241.640, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5315.530, 6234.161, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5913.600, 6239.548, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 2869.325, 4918.863, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 3468.194, 4918.863, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4141.922, 4915.123, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4793.192, 4915.123, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5369.603, 4907.643, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5944.711, 4913.030, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 2836.976, 4066.575, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 3439.326, 4064.321, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4070.056, 4069.038, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4725.476, 4054.725, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5320.009, 4047.568, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5893.054, 4054.725, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 2860.145, 2753.227, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 3462.494, 2750.973, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4093.225, 2755.691, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4748.644, 2741.377, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5343.178, 2734.220, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5916.222, 2741.377, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5943.997, 1941.807, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5337.406, 1938.794, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4718.234, 1951.252, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4091.927, 1956.508, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5931.468, 595.080, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 5324.876, 592.068, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4705.704, 604.526, 0.000, 1.000, 1.000
'Silla','0','Silla','BEIGE','Stay Elit','SILLA-01', 4079.398, 609.781, 0.000, 1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 2606.186, 5773.960, 0.000,-1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 2895.288, 5782.289, 0.000,-1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 3160.977, 5772.833, 0.000,-1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 3450.079, 5781.162, 0.000,-1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 3755.818, 5765.630, 0.000,-1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 4044.920, 5773.960, 0.000,-1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 4436.555, 5770.783, 0.000,-1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 4725.657, 5779.112, 0.000,-1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 5064.003, 5765.630, 0.000,-1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 5353.105, 5773.960, 0.000,-1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 5678.595, 5768.616, 0.000,-1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 5967.697, 5776.946, 0.000,-1.000, 1.000
'Mouse','0','Mouse','Negro','LOGITECH','M170', 6191.013, 5335.712, 0.000, 1.000, 1.000
'Teclado','0','Teclado','Negro','HP',' HP 230 (3L1E7AA)', 5926.911, 5344.042, 0.000, 1.000, 1.000
